[2023-11-09.21:44:03] [OK            ] [AELogger]: Created the AELogger instance and opened the log session in the file: "C:/Users/artem/CODING/ACEngine/ACEngine/acengine_log.txt"
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 55(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 57(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 59(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 61(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 63(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 65(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 67(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 69(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 69(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 73(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 75(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 77(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 79(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 81(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 83(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 83(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 87(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 89(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 91(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 93(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 95(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 97(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 99(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 101(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 103(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 105(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 107(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 107(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 111(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 111(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 115(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 117(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 119(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 121(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 123(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 125(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 127(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 129(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 131(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 133(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 135(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 137(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 139(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 141(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 143(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 145(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 145(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:04] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 149(+1)
[2023-11-09.21:44:04] [INFO          ] [ACEngine]: Successfully have gone through a loop!
